Customer_ID,Customer_Name,Segment
AA-103151,"Alex Avila",Consumer
AA-103152,"Alex Avila",Consumer
AA-103153,"Alex Avila",Consumer
AA-103154,"Alex Avila",Consumer
AA-103751,"Allen Armold",Consumer
AA-103752,"Allen Armold",Consumer
AA-103753,"Allen Armold",Consumer
AA-103754,"Allen Armold",Consumer
AA-104801,"Andrew Allen",Consumer
AA-104802,"Andrew Allen",Consumer
AA-104803,"Andrew Allen",Consumer
AA-104804,"Andrew Allen",Consumer
AA-106451,"Anna Andreadi",Consumer
AA-106452,"Anna Andreadi",Consumer
AA-106453,"Anna Andreadi",Consumer
AA-106454,"Anna Andreadi",Consumer
AA-3151,"Alex Avila",Consumer
AA-3152,"Alex Avila",Consumer
AA-3751,"Allen Armold",Consumer
AA-3752,"Allen Armold",Consumer
AA-3753,"Allen Armold",Consumer
AA-4801,"Andrew Allen",Consumer
AA-4802,"Andrew Allen",Consumer
AA-4803,"Andrew Allen",Consumer
AA-6451,"Anna Andreadi",Consumer
AA-6452,"Anna Andreadi",Consumer
AB-100151,"Aaron Bergman",Consumer
AB-100152,"Aaron Bergman",Consumer
AB-100153,"Aaron Bergman",Consumer
AB-100154,"Aaron Bergman",Consumer
AB-100601,"Adam Bellavance","Home Office"
AB-100602,"Adam Bellavance","Home Office"
AB-100603,"Adam Bellavance","Home Office"
AB-100604,"Adam Bellavance","Home Office"
AB-101051,"Adrian Barton",Consumer
AB-101052,"Adrian Barton",Consumer
AB-101053,"Adrian Barton",Consumer
AB-101054,"Adrian Barton",Consumer
AB-101501,"Aimee Bixby",Consumer
AB-101502,"Aimee Bixby",Consumer
AB-101503,"Aimee Bixby",Consumer
AB-101504,"Aimee Bixby",Consumer
AB-101651,"Alan Barnes",Consumer
AB-101652,"Alan Barnes",Consumer
AB-101653,"Alan Barnes",Consumer
AB-101654,"Alan Barnes",Consumer
AB-102551,"Alejandro Ballentine","Home Office"
AB-102552,"Alejandro Ballentine","Home Office"
AB-102553,"Alejandro Ballentine","Home Office"
AB-102554,"Alejandro Ballentine","Home Office"
AB-1051,"Adrian Barton",Consumer
AB-1052,"Adrian Barton",Consumer
AB-1053,"Adrian Barton",Consumer
AB-106001,"Ann Blume",Corporate
AB-106002,"Ann Blume",Corporate
AB-106003,"Ann Blume",Corporate
AB-106004,"Ann Blume",Corporate
AB-1501,"Aimee Bixby",Consumer
AB-151,"Aaron Bergman",Consumer
AB-152,"Aaron Bergman",Consumer
AB-1651,"Alan Barnes",Consumer
AB-1652,"Alan Barnes",Consumer
AB-1653,"Alan Barnes",Consumer
AB-2551,"Alejandro Ballentine","Home Office"
AB-2552,"Alejandro Ballentine","Home Office"
AB-2553,"Alejandro Ballentine","Home Office"
AB-6001,"Ann Blume",Corporate
AB-6002,"Ann Blume",Corporate
AB-601,"Adam Bellavance","Home Office"
AB-602,"Adam Bellavance","Home Office"
AC-104201,"Alyssa Crouse",Corporate
AC-104202,"Alyssa Crouse",Corporate
AC-104203,"Alyssa Crouse",Corporate
AC-104204,"Alyssa Crouse",Corporate
AC-104501,"Amy Cox",Consumer
AC-104502,"Amy Cox",Consumer
AC-104503,"Amy Cox",Consumer
AC-104504,"Amy Cox",Consumer
AC-106151,"Ann Chong",Corporate
AC-106152,"Ann Chong",Corporate
AC-106153,"Ann Chong",Corporate
AC-106154,"Ann Chong",Corporate
AC-106601,"Anna Chung",Consumer
AC-106602,"Anna Chung",Consumer
AC-106603,"Anna Chung",Consumer
AC-106604,"Anna Chung",Consumer
AC-4201,"Alyssa Crouse",Corporate
AC-4202,"Alyssa Crouse",Corporate
AC-4501,"Amy Cox",Consumer
AC-4502,"Amy Cox",Consumer
AC-4503,"Amy Cox",Consumer
AC-6151,"Ann Chong",Corporate
AC-6152,"Ann Chong",Corporate
AC-6601,"Anna Chung",Consumer
AC-6602,"Anna Chung",Consumer
AD-101801,"Alan Dominguez","Home Office"
AD-101802,"Alan Dominguez","Home Office"
AD-101803,"Alan Dominguez","Home Office"
AD-101804,"Alan Dominguez","Home Office"
AD-1801,"Alan Dominguez","Home Office"
AD-1802,"Alan Dominguez","Home Office"
AF-108701,"Art Ferguson",Consumer
AF-108702,"Art Ferguson",Consumer
AF-108703,"Art Ferguson",Consumer
AF-108704,"Art Ferguson",Consumer
AF-108851,"Art Foster",Consumer
AF-108852,"Art Foster",Consumer
AF-108853,"Art Foster",Consumer
AF-108854,"Art Foster",Consumer
AF-8701,"Art Ferguson",Consumer
AF-8702,"Art Ferguson",Consumer
AF-8703,"Art Ferguson",Consumer
AF-8851,"Art Foster",Consumer
AF-8852,"Art Foster",Consumer
AG-102701,"Alejandro Grove",Consumer
AG-102702,"Alejandro Grove",Consumer
AG-102703,"Alejandro Grove",Consumer
AG-102704,"Alejandro Grove",Consumer
AG-103001,"Aleksandra Gannaway",Corporate
AG-103002,"Aleksandra Gannaway",Corporate
